X,Y,Z,FaceLabels
-67.16597961355133,-143.97666936492323,-0.055707102718660265,Speed reading
-70.88327150836982,-141.1772921250477,-0.07991551929771648,README
-70.72684833628955,-144.35488821623525,-0.025090982591116587,Programming languages
-69.79946382813928,-145.06463649945508,-0.03983195725658287,Create a programming language
-70.20566090130518,-141.09058437952024,-0.08738182391192877,README
-68.93087260910956,-144.83300497072227,-0.060056836837176025,Evaluate a book
-71.4518694642341,-143.0192081403082,-0.09091856733451892,Welcome in my mind 🧠
-68.36872246798123,-143.9167214285375,-0.10277030164303008,The four levels of reading
-68.6084617091264,-141.94005736746664,-0.12460956277794234,Reading imaginary
-68.56053734519827,-143.53380986629912,-0.11391786940356008,Re-reading books
-67.63514366876139,-144.28683900014326,-0.08599259565488557,Syntopical reading
-67.36165379317723,-143.34775982738955,-0.10310959477170606,Reading science and mathematics
-69.73936840346751,-141.6000754144044,-0.10553512323429132,Reading imaginary
-69.70736785817553,-142.176648433372,-0.14168420705883597,Reading philosophy
-68.68530917313146,-144.29192665655958,-0.09605389307782397,Syntopical reading
-70.86291859038477,-143.5607070755342,-0.11727583997981825,Welcome in my mind 🧠
-69.58708289274611,-143.13688460484704,-0.15644150268062973,Elementary reading
-70.2743389885197,-142.97939539814158,-0.14478057173931713,Reading philosophy
-69.84075999171827,-144.14598902271845,-0.10444191392318032,Inspectional reading
-68.47117024724096,-142.79983283262635,-0.13218905427392746,Reading technics should differ depending on book type
-70.91335347252503,-142.10177466244232,-0.12262034684186299,Contact me 💌
